"features_geometry_coordinates_0","features_geometry_coordinates_1","features_geometry_type","features_id","features_properties_additionalInfo_0","features_properties_adviceA","features_properties_adviceB","features_properties_arrangementAttachments_0_displayName","features_properties_arrangementAttachments_0_fileName","features_properties_arrangementAttachments_0_fileType","features_properties_arrangementAttachments_0_linkName","features_properties_arrangementAttachments_0_sizeInBytes","features_properties_arrangementAttachments_0_uniqueFileName","features_properties_arrangementAttachments_1_displayName","features_properties_arrangementAttachments_1_fileName","features_properties_arrangementAttachments_1_fileType","features_properties_arrangementAttachments_1_linkName","features_properties_arrangementAttachments_1_sizeInBytes","features_properties_arrangementAttachments_1_uniqueFileName","features_properties_attendingGroups_0","features_properties_created","features_properties_displayName","features_properties_diversions","features_properties_duration","features_properties_encodedPolylines_0_coords","features_properties_encodedPolylines_0_levels","features_properties_end","features_properties_ended","features_properties_expectedDelay","features_properties_headline","features_properties_impactingNetwork","features_properties_incidentKind","features_properties_isInitialReport","features_properties_isMajor","features_properties_isNewIncident","features_properties_lastUpdated","features_properties_mainCategory","features_properties_name","features_properties_otherAdvice","features_properties_periods_0_closureType","features_properties_periods_0_direction","features_properties_periods_0_finishTime","features_properties_periods_0_fromDay","features_properties_periods_0_startTime","features_properties_periods_0_toDay","features_properties_periods_1_closureType","features_properties_periods_1_direction","features_properties_periods_1_finishTime","features_properties_periods_1_fromDay","features_properties_periods_1_startTime","features_properties_periods_1_toDay","features_properties_periods_2_closureType","features_properties_periods_2_direction","features_properties_periods_2_finishTime","features_properties_periods_2_fromDay","features_properties_periods_2_startTime","features_properties_periods_2_toDay","features_properties_periods_3_closureType","features_properties_periods_3_direction","features_properties_periods_3_finishTime","features_properties_periods_3_fromDay","features_properties_periods_3_startTime","features_properties_periods_3_toDay","features_properties_periods_4_closureType","features_properties_periods_4_direction","features_properties_periods_4_finishTime","features_properties_periods_4_fromDay","features_properties_periods_4_startTime","features_properties_periods_4_toDay","features_properties_periods_5_closureType","features_properties_periods_5_direction","features_properties_periods_5_finishTime","features_properties_periods_5_fromDay","features_properties_periods_5_startTime","features_properties_periods_5_toDay","features_properties_periods_6_closureType","features_properties_periods_6_direction","features_properties_periods_6_finishTime","features_properties_periods_6_fromDay","features_properties_periods_6_startTime","features_properties_periods_6_toDay","features_properties_publicTransport","features_properties_roads_0_conditionTendency","features_properties_roads_0_crossStreet","features_properties_roads_0_delay","features_properties_roads_0_impactedLanes_0_affectedDirection","features_properties_roads_0_impactedLanes_0_closedLanes","features_properties_roads_0_impactedLanes_0_description","features_properties_roads_0_impactedLanes_0_extent","features_properties_roads_0_impactedLanes_0_numberOfLanes","features_properties_roads_0_impactedLanes_0_roadType","features_properties_roads_0_locationQualifier","features_properties_roads_0_mainStreet","features_properties_roads_0_quadrant","features_properties_roads_0_queueLength","features_properties_roads_0_region","features_properties_roads_0_secondLocation","features_properties_roads_0_suburb","features_properties_roads_0_trafficVolume","features_properties_speedLimit","features_properties_start","features_properties_subCategoryA","features_properties_subCategoryB","features_properties_webLinkName","features_properties_webLinkUrl","features_properties_webLinks_0_linkText","features_properties_webLinks_0_linkURL","features_properties_webLinks_1_linkText","features_properties_webLinks_1_linkURL","features_type"
"149.72343","-34.7692","POINT","670628"," ","Use diversions","Exercise caution","","","","","","","","","","","",""," ","1489563413807","SCHEDULED ROAD WORKS","Detours add around three minutes to the journey.<br/>Light and heavy vehicles travelling from Windemalla or Bungonia can use Brisbane Grove and Braidwood roads to access Goulburn.<br/>Light vehicles can use Forbes St and Park Rd to access the town centre.<br/>"," ","","","1514725199060","False"," ","SCHEDULED ROAD WORKS - GOULBURN Lansdowne Bridge on Bungonia Rd","False","Planned","False","False","False","1508164351070","Scheduled road works","None","The bridge will be closed permanently until a new replacement bridge is built. <br/>","ROAD_CLOSURE","Both directions"," ","Every day","24 hours "," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","","Bungonia Road","","","","","","","","on","Lansdowne Bridge","","0","REG_SOUTH"," ","Goulburn","","-1","1489410000000",""," ","None","None","","","","","Feature"
"151.22882","-33.92461","POINT","672479"," ","Check signage","Expect delays","","Zone 31 map - 1 April.pdf","pdf","Zone 31 Map","519911","zone_31_map_-_1_april_1490773656392peb.pdf","","","","","",""," ","1490769962800","SCHEDULED ROAD WORKS Light rail project"," "," ","","","1514725199059","False"," ","SCHEDULED ROAD WORKS Light rail project - KINGSFORD Anzac Pde between ""Nine Ways"" (Gardeners Rd roundabout) and Sturt St","True","Planned","False","False","False","1511787362985","Scheduled road works","None","<strong>The following conditions are now in place:</strong><br/>- northbound lane adjacent to the centre median is closed<br/>- northbound parking lane is now a bus lane with a 24hr clearway<br/>- southbound parking lane adjacent to the centre median is closed<br/>- 50km/h speed limit in place<br/>- parking between the northbound and southbound carriageways has been removed<br/>- the section of Wallace St between the northbound and southbound carriageways is closed (access into Wallace St eastbound is only available from the southbound carriageway)<br/><br/>Two lanes are available in each direction on Anzac Pde however overnight lane closures may be required at times. Traffic control will be in place to assist motorists, pedestrians and cyclists while the new traffic arrangements are implemented.<br/>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","","""Nine Ways"" (Gardeners Road roundabout)","","","","","","","","between","Anzac Parade","","0","SYD_MET","Sturt Street","Kingsford","","-1","1490878800000","Light rail project"," ","None","None","MySydney","http://www.mysydneycbd.com.au/","Sydney Light Rail","http://www.sydneylightrail.transport.nsw.gov.au/library","Feature"
"150.02287","-34.69682","POINT","724991","","","","","","","","","","","","","","","","","1510230950654","SCHEDULED ROAD WORKS Resurfacing"," "," ","","","1512133199059","False"," ","SCHEDULED ROAD WORKS Resurfacing - MARULAN Hume Hwy at Highland Way","False","Planned","False","False","False","1511601087029","Scheduled road works","None","One lane closed at a time in each direction for concrete repair work.<br/>Motorists are advised to allow up to 5 minutes additional travel time.<br/>","LANE_CLOSURE","Both directions","5pm","Weekdays","6:30am"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","","Highland Way","","","","","","","","at","Hume Highway","","0","REG_SOUTH"," ","Marulan","","40","1511096400000","","","","","","","","",""
"148.77751","-35.9967","POINT","714375"," ","Check signage","Reduced speed limit","","","","","","","","","","","",""," ","1509721381032","SCHEDULED ROAD WORKS"," "," ","","","1512737999059","False"," ","SCHEDULED ROAD WORKS - ADAMINABY Snowy Mountains Hwy at Cosgrove St","False","Planned","False","False","False","1512043206290","Scheduled road works","None","There are alternating (stop/slow) traffic conditions in place.<br/>Motorists are advised to allow up to 15 minutes of additional travel time.<br/>","LANE_CLOSURE","Both directions","6pm","Weekdays","7am"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","","Cosgrove Street","","","","","","","","at","Snowy Mountains Highway","","0","REG_SOUTH"," ","Adaminaby","","40","1511010000000",""," ","None","None","","","","","Feature"
"151.20659","-33.85901","POINT","714667","","","","","","","","","","","","","","","","","1509959179832","SCHEDULED ROAD WORKS  Southern Toll Plaza Removal"," "," ","","","1512219599059","False"," ","SCHEDULED ROAD WORKS  Southern Toll Plaza Removal - THE ROCKS Sydney Harbour Bridge between Hickson Rd and Grosvenor St","True","Planned","False","False","False","1511269039157","Scheduled road works","None","Lanes will be closed in stages, firstly lanes 6 and 7, then lane 5 at 11pm.<br/>","LANE_CLOSURE","Southbound","4:30am","Sunday","9:30pm"," ","LANE_CLOSURE","Southbound","4:30am","Monday","9:30pm"," ","LANE_CLOSURE","Southbound","4:30am","Tuesday","9:30pm"," ","LANE_CLOSURE","Southbound","4:30am","Wednesday","9:30pm"," ","LANE_CLOSURE","Southbound","4:30am","Thursday","10pm"," ","LANE_CLOSURE","Southbound","4:30am","Friday","10:30pm"," ","LANE_CLOSURE","Southbound","4:30am","Saturday","10:30pm"," "," ","","Hickson Road","","","","","","","","between","Sydney Harbour Bridge","","0","SYD_MET","Grosvenor Street","The Rocks","","40","1510750800000","","","","","","","","",""
"151.13457","-33.88441","POINT","675311"," ","Check signage","Use alternative route","","","","","","","","","","","",""," ","1493175863130","SCHEDULED ROAD WORKS WestConnex","<strong>Southbound motorists</strong> use Parramatta Rd, Liverpool Rd and Pembroke St to access Orpington St.<br/><br/><strong>Northbound motorists </strong>use Pembroke St, Ormond St or Liverpool Rd to access Parramatta Rd.<br/>"," ","","","1513947599060","False"," ","SCHEDULED ROAD WORKS WestConnex - ASHFIELD Orpington St at Parramatta Rd","False","Planned","False","False","False","1508974147770","Scheduled road works","None"," ","ROAD_CLOSURE","Both directions","","Every day","24 hrs"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bus Route 406 torwards Hurlstone Park will be diverted around the closure. Visit <a href=""http://transportnsw.info/"" target=""_blank"">transport.nsw.info</a> for details.<br/>","","Parramatta Road","","","","","","","","at","Orpington Street","","0","SYD_MET"," ","Ashfield","","-1","1493474400000","WestConnex"," ","None","None","Westconnex","https://www.westconnex.com.au/traffic-changes","","","Feature"
"151.15121","-33.79499","POINT","726669"," ","Check signage","Allow extra travel time","","","","","","","","","","","",""," ","1511743826857","SCHEDULED ROAD WORKS"," "," ","","","1513342799059","False"," ","SCHEDULED ROAD WORKS - NORTH RYDE Delhi Rd between Julius Ave and River Ave","False","Planned","False","False","False","1511788493113","Scheduled road works","None","Alternating (stop/slow) traffic conditions will be in place to allow motorists to pass in both directions.<br/>","LANE_CLOSURE","Both directions","5am","Monday","10pm"," ","LANE_CLOSURE","Both directions","5am","Tuesday","10pm"," ","LANE_CLOSURE","Both directions","5am","Wednesday","10pm"," ","LANE_CLOSURE","Both directions","5am","Thursday","10.30pm"," ","LANE_CLOSURE","Both directions","5am","Friday","10.30pm"," ","","","","","","","","","","","",""," ","","Julius Avenue","","","","","","","","between","Delhi Road","","0","SYD_NORTH","River Avenue","North Ryde","","-1","1511701200000",""," ","None","None","","","","","Feature"
"150.94083","-33.94162","POINT","726094"," ","Check signage","Use alternative route","","","","","","","","","","","",""," ","1511227067429","SCHEDULED ROAD WORKS Resurfacing","Eastbound motorists can use the Henry Lawson Dr off-ramp instead.<br/>"," ","","","1512356399059","True"," ","SCHEDULED ROAD WORKS Resurfacing - MOOREBANK M5 Mwy eastbound off-ramp to Heathcote Rd","False","Planned","False","False","False","1512473202584","Scheduled road works","None"," ","ROAD_CLOSURE","Eastbound","5am","Sunday","10pm"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","","Heathcote Road","","","","","","","","to","M5 Motorway eastbound off-ramp","","0","SYD_SOUTH"," ","Moorebank","","-1","1512183600000","Resurfacing"," ","None","None","","","","","Feature"
"153.20454","-29.44615","POINT","725909","","","","","","","","","","","","","","","","","1511017624540","SCHEDULED ROAD WORKS Maintenance"," "," ","","","1512133199059","False"," ","SCHEDULED ROAD WORKS Maintenance - MACLEAN Yamba Rd at 47km north of Grafton","False","Planned","False","False","False","1511534198478","Scheduled road works","None","One lane closed at times for bolt replacement.<br/>Delays up to 10 minutes may occur.<br/>","LANE_CLOSURE","Both directions","5pm","Weekdays","7am"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","","47km north of Grafton","","","","","","","","at","Yamba Road","","0","REG_NORTH"," ","Maclean","","40","1511096400000","","","","","","","","",""
"151.22291","-33.83155","POINT","710183"," ","Reduce speed","Exercise caution","","","","","","","","","","","",""," ","1506084240620","SCHEDULED ROAD WORKS B-Line Northern Beaches"," "," ","","","1517403599059","False"," ","SCHEDULED ROAD WORKS B-Line Northern Beaches - NEUTRAL BAY TO MONA VALE Military Rd - and Pittwater Rd","True","Planned","False","False","False","1512331930238","Scheduled road works","None","Lane closures will change regularly and motorists should allow extra travel time and follow signage.<br/>","LANE_CLOSURE","Both directions","","Every day","24hrs"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","","and Pittwater Road","","","","","","","","-","Military Road","","0","SYD_NORTH"," ","Neutral Bay to Mona Vale","","-1","1506002400000"," "," ","None","None","B-Line northern beaches project","http://b-line.transport.nsw.gov.au/","","","Feature"
"151.21249","-33.84934","POINT","727092"," ","Check signage","Exercise caution","","","","","","","","","","","",""," ","1512056060104","SCHEDULED ROAD WORKS"," "," ","","","1513861199059","False"," ","SCHEDULED ROAD WORKS - SYDNEY Cahill Exp on Sydney Harbour Bridge","False","Planned","False","False","False","1512056718229","Scheduled road works","None","The Cahill Expressway will be closed for New Year's Eve set up.<br/>Southbound motorists should use either:<br/>Sydney Harbour Tunnel, or lanes 5 / 6 on the Sydney Harbour Bridge.<br/>","LANE_CLOSURE","Southbound","4am","Thursday","10pm"," ","LANE_CLOSURE","Southbound","4am","Friday","11pm"," ","LANE_CLOSURE","Southbound","4am","Saturday","11pm"," ","LANE_CLOSURE","Southbound","4:30am","Monday","9pm"," ","LANE_CLOSURE","Southbound","4:30am","Tuesday","9pm"," ","LANE_CLOSURE","Southbound","4:30am","Wednesday","9pm"," ","","","","","",""," ","","Sydney Harbour Bridge","","","","","","","","on","Cahill Expressway","","0","SYD_NORTH"," ","Sydney","","-1","1513170000000",""," ","None","None","","","","","Feature"
"150.96307","-33.76501","POINT","726852"," "," "," ","","","","","","","","","","","",""," ","1511875635828","SCHEDULED ROAD WORKS","Motorists should exit the M7 at the Norwest Boulevard off-ramp and then use Old Windsor Rd and the Abbott Rd on-ramp to rejoin the M7.<br/>"," ","","","1516366799059","False"," ","SCHEDULED ROAD WORKS - BELLA VISTA Westlink M7 between Abbott Rd and Norwest Boulevard","False","Planned","False","False","False","1512481545092","Scheduled road works","None"," ","ROAD_CLOSURE","Northbound","4:30am","Tuesday","9pm"," ","ROAD_CLOSURE","Northbound","4:30am","Wednesday","9:30pm"," ","ROAD_CLOSURE","Northbound","4:30am","Thursday","9:30pm"," ","","","","","","","","","","","","","","","","","","","","","","","",""," ","","Abbott Road","","","","","","","","between","Westlink M7","","0","SYD_WEST","Norwest Boulevard","Bella Vista","","-1","1516021200000",""," ","None","None","","","","","Feature"
"153.26113","-28.85504","POINT","726469","","","","","","","","","","","","","","","","","1511535155354","SCHEDULED ROAD WORKS Slope stabilisation"," "," ","","","1513911599059","True"," ","SCHEDULED ROAD WORKS Slope stabilisation - SOUTH GUNDARIMBA Bruxner Hwy at Barker St","False","Planned","False","False","False","1512387538745","Scheduled road works","None","Alternating (stop/slow) traffic control is in place allowing one lane of traffic to pass in each direction. <br/>Expect delays of up to 10 minutes. <br/>","LANE_CLOSURE","Both directions","6pm","Weekdays","7am"," ","LANE_CLOSURE","Both directions","1pm","Saturday","8am"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","","Barker Street","","","","","","","","at","Bruxner Highway","","0","REG_NORTH"," ","South Gundarimba","","40","1511665200000","","","","","","","","",""
"151.16371","-33.86032","POINT","726453"," ","Check signage","Exercise caution","","","","","","","","","","","",""," ","1511513617069","SCHEDULED ROAD WORKS Maintenance"," "," ","","","1513774799059","False"," ","SCHEDULED ROAD WORKS Maintenance - DRUMMOYNE TO ROZELLE Victoria Rd between Day St and The Crescent","False","Planned","False","False","False","1512482426106","Scheduled road works","None","One lane will be available to motorists in both directions at all times. <br/>","LANE_CLOSURE","Both directions","4:30am","Sunday","11:30pm"," ","LANE_CLOSURE","Both directions","4:30am","Monday","11:30pm"," ","LANE_CLOSURE","Both directions","4:30am","Tuesday","11:30pm"," ","LANE_CLOSURE","Both directions","4:30am","Wednesday","11:30pm"," ","LANE_CLOSURE","Both directions","4:30am","Thursday","11:30pm"," ","","","","","","","","","","","",""," ","","Day Street","","","","","","","","between","Victoria Road","","0","SYD_MET","The Crescent","Drummoyne to Rozelle","","-1","1512910800000","Maintenance"," ","None","None","","","","","Feature"
